"id","treatment","gender","age","phase","hour","value"
"9","A","F",2.25,"pre","4",6
"9","A","F",2.25,"pre","5",4
"9","A","F",2.25,"post","1",4
"9","A","F",2.25,"post","2",5
"9","A","F",2.25,"post","3",6
"9","A","F",2.25,"post","4",4
"9","A","F",2.25,"post","5",1
"9","A","F",2.25,"fup","1",5
"9","A","F",2.25,"fup","2",4
"9","A","F",2.25,"fup","3",7
"9","A","F",2.25,"fup","4",5
"9","A","F",2.25,"fup","5",4
"10","B","M",-7.75,"pre","1",4
"10","B","M",-7.75,"pre","2",4
"10","B","M",-7.75,"pre","3",5
"10","B","M",-7.75,"pre","4",3
"10","B","M",-7.75,"pre","5",4
"10","B","M",-7.75,"post","1",6
"10","B","M",-7.75,"post","2",7
"10","B","M",-7.75,"post","3",6
"10","B","M",-7.75,"post","4",8
"10","B","M",-7.75,"post","5",8
"10","B","M",-7.75,"fup","1",8
"10","B","M",-7.75,"fup","2",8
"10","B","M",-7.75,"fup","3",9
"10","B","M",-7.75,"fup","4",7
"10","B","M",-7.75,"fup","5",8
"11","B","M",-5.75,"pre","1",3
"11","B","M",-5.75,"pre","2",3
"11","B","M",-5.75,"pre","3",4
"11","B","M",-5.75,"pre","4",2
"11","B","M",-5.75,"pre","5",3
"11","B","M",-5.75,"post","1",5
"11","B","M",-5.75,"post","2",4
"11","B","M",-5.75,"post","3",7
"11","B","M",-5.75,"post","4",5
"11","B","M",-5.75,"post","5",4
"11","B","M",-5.75,"fup","1",5
"11","B","M",-5.75,"fup","2",6
"11","B","M",-5.75,"fup","3",8
"11","B","M",-5.75,"fup","4",6
"11","B","M",-5.75,"fup","5",5
"12","B","M",-5.75,"pre","1",6
"12","B","M",-5.75,"pre","2",7
"12","B","M",-5.75,"pre","3",8
"12","B","M",-5.75,"pre","4",6
"12","B","M",-5.75,"pre","5",3
"12","B","M",-5.75,"post","1",9
"12","B","M",-5.75,"post","2",10
"12","B","M",-5.75,"post","3",11
"12","B","M",-5.75,"post","4",9
"12","B","M",-5.75,"post","5",6
"12","B","M",-5.75,"fup","1",8
"12","B","M",-5.75,"fup","2",7
"12","B","M",-5.75,"fup","3",10
"12","B","M",-5.75,"fup","4",8
"12","B","M",-5.75,"fup","5",7
"13","B","F",3.25,"pre","1",5
"13","B","F",3.25,"pre","2",5
"13","B","F",3.25,"pre","3",6
"13","B","F",3.25,"pre","4",8
"13","B","F",3.25,"pre","5",6
"13","B","F",3.25,"post","1",4
"13","B","F",3.25,"post","2",6
"13","B","F",3.25,"post","3",6
"13","B","F",3.25,"post","4",8
"13","B","F",3.25,"post","5",6
"13","B","F",3.25,"fup","1",7
"13","B","F",3.25,"fup","2",7
"13","B","F",3.25,"fup","3",8
"13","B","F",3.25,"fup","4",10
"13","B","F",3.25,"fup","5",8
"14","B","F",-2.75,"pre","1",2
"14","B","F",-2.75,"pre","2",2
"14","B","F",-2.75,"pre","3",3
"14","B","F",-2.75,"pre","4",1
"14","B","F",-2.75,"pre","5",2
"14","B","F",-2.75,"post","1",5
"14","B","F",-2.75,"post","2",6
"14","B","F",-2.75,"post","3",7
"14","B","F",-2.75,"post","4",5
"14","B","F",-2.75,"post","5",2
"14","B","F",-2.75,"fup","1",6
"14","B","F",-2.75,"fup","2",7
"14","B","F",-2.75,"fup","3",8
"14","B","F",-2.75,"fup","4",6
"14","B","F",-2.75,"fup","5",3
"15","B","F",4.25,"pre","1",2
"15","B","F",4.25,"pre","2",2
"15","B","F",4.25,"pre","3",3
"15","B","F",4.25,"pre","4",4
"15","B","F",4.25,"pre","5",4
"15","B","F",4.25,"post","1",6
"15","B","F",4.25,"post","2",6
"15","B","F",4.25,"post","3",7
"15","B","F",4.25,"post","4",9
"15","B","F",4.25,"post","5",7
"15","B","F",4.25,"fup","1",7
"15","B","F",4.25,"fup","2",7
"15","B","F",4.25,"fup","3",8
"15","B","F",4.25,"fup","4",6
"15","B","F",4.25,"fup","5",7
"16","B","F",-0.75,"pre","1",4
"16","B","F",-0.75,"pre","2",5
"16","B","F",-0.75,"pre","3",7
"16","B","F",-0.75,"pre","4",5
"16","B","F",-0.75,"pre","5",4
"16","B","F",-0.75,"post","1",7
"16","B","F",-0.75,"post","2",7
"16","B","F",-0.75,"post","3",8
"16","B","F",-0.75,"post","4",6
"16","B","F",-0.75,"post","5",7
"16","B","F",-0.75,"fup","1",7
"16","B","F",-0.75,"fup","2",8
"16","B","F",-0.75,"fup","3",10
"16","B","F",-0.75,"fup","4",8
"16","B","F",-0.75,"fup","5",7
